,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Longitude,Latitude
0,ABW,North America,Aruba,9/28/2020,3844,12,41.857,25,0,0.28600000000000003,36003.971,112.395,392.046,234.157,0.0,2.676,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,106766,584.8,41.2,13.085,7.452000000000001,35973.781,0.0,0.0,11.62,0.0,0.0,0.0,0.0,76.29,0.0,-69.9618475,12.5013629
1,AFG,Asia,Afghanistan,9/28/2020,39227,0,26.143,1453,0,1.714,1007.672,0.0,0.672,37.325,0.0,0.044000000000000004,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,38928341,54.422,18.6,2.5810000000000004,1.337,1803.987,0.0,597.029,9.59,0.0,0.0,37.746,0.5,64.83,0.498,66.2385139,33.7680065
2,AGO,Africa,Angola,9/28/2020,4672,82,97.286,171,4,2.714,142.15200000000002,2.495,2.96,5.202999999999999,0.122,0.083,0,0,0.0,0.0,0,0.0,0.0,0.0,0,75.0,32866268,23.89,16.8,2.405,1.3619999999999999,5819.495,0.0,276.045,3.94,0.0,0.0,26.664,0.0,61.15,0.581,17.5691241,-11.8775768
3,AIA,North America,Anguilla,9/28/2020,3,0,0.0,0,0,0.0,199.97299999999998,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,15002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88,0.0,-63.0750234,18.1954947
4,ALB,Europe,Albania,9/28/2020,13259,106,124.85700000000001,377,2,2.1430000000000002,4607.339,36.834,43.386,131.003,0.695,0.745,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2877800,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,0.0,2.89,78.57,0.785,19.9999619,41.000028
5,AND,Europe,Andorra,9/28/2020,1836,0,38.857,53,0,0.0,23762.376,0.0,502.907,685.951,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,77265,163.755,0.0,0.0,0.0,0.0,0.0,109.135,7.97,29.0,37.8,0.0,0.0,83.73,0.858,1.5732033,42.5407167
6,ARE,Asia,United Arab Emirates,9/28/2020,91469,851,936.143,412,1,1.143,9248.261,86.04299999999999,94.652,41.657,0.10099999999999999,0.11599999999999999,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,9890400,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,0.0,317.84,17.26,1.2,37.4,0.0,1.2,77.97,0.863,53.9994829,24.0002488
7,ARG,South America,Argentina,9/28/2020,711312,8841,12627.286,15749,206,405.714,15738.462,195.61599999999999,279.39099999999996,348.462,4.558,8.977,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0.0,5.0,76.67,0.825,-64.9672817,-34.9964963
8,ARM,Asia,Armenia,9/28/2020,49400,328,281.286,951,3,3.0,16670.975,110.69,94.925,320.933,1.012,1.012,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2963234,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.755,44.6736646,40.7696272
9,ATG,North America,Antigua and Barbuda,9/28/2020,101,0,0.7140000000000001,3,0,0.0,1031.37,0.0,7.294,30.635,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,97928,231.845,32.1,6.933,4.631,21490.943,0.0,191.511,13.17,0.0,0.0,0.0,3.8,77.02,0.78,-61.9554608,17.2234721
