continent,location,population,population_density,total_cases,total_deaths,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,latitude,longitude
North America,Aruba,106766,584.8,3844,25,35973.781,0.0,11.62,0.0,0.0,76.29,12.52111,-69.968338
Asia,Afghanistan,38928341,54.422,39227,1453,1803.987,597.029,9.59,37.746,0.5,64.83,33.93911,67.709953
Africa,Angola,32866268,23.89,4672,171,5819.495,276.045,3.94,26.664,0.0,61.15,-11.202691999999999,17.873887
North America,Anguilla,15002,0.0,3,0,0.0,0.0,0.0,0.0,0.0,81.88,18.220554,-63.068615
Europe,Albania,2877800,104.87100000000001,13259,377,11803.431,304.195,10.08,0.0,2.89,78.57,41.153332,20.168331
Europe,Andorra,77265,163.755,1836,53,0.0,109.135,7.97,0.0,0.0,83.73,42.546245,1.6015540000000001
Asia,United Arab Emirates,9890400,112.44200000000001,91469,412,67293.483,317.84,17.26,0.0,1.2,77.97,23.424076,53.847818000000004
South America,Argentina,45195777,16.177,711312,15749,18933.907,191.032,5.5,0.0,5.0,76.67,-38.416097,-63.616671999999994
Asia,Armenia,2963234,102.931,49400,951,8787.58,341.01,7.11,94.04299999999999,4.2,75.09,40.069099,45.038189
North America,Antigua and Barbuda,97928,231.845,101,3,21490.943,191.511,13.17,0.0,3.8,77.02,17.060816,-61.796428000000006
Oceania,Australia,25499881,3.202,27040,872,44648.71,107.791,5.07,0.0,3.84,83.44,-25.274398,133.775136
Europe,Austria,9006400,106.749,43466,787,45436.685999999994,145.183,6.35,0.0,7.37,81.54,47.516231,14.550072
Asia,Azerbaijan,10139175,119.309,40023,586,15847.419,559.812,7.11,83.241,4.7,73.0,40.143105,47.576927000000005
Africa,Burundi,11890781,423.06199999999995,485,1,702.225,293.068,6.05,6.144,0.8,61.58,-3.3730559999999996,29.918885999999997
Europe,Belgium,11589616,375.564,114085,9980,42658.575999999994,114.898,4.29,0.0,5.64,81.63,50.503887,4.469936
Africa,Benin,12123198,99.11,2340,40,2064.236,235.84799999999998,0.99,11.035,0.5,61.77,9.30769,2.315834
Africa,Burkina Faso,20903278,70.15100000000001,2008,56,1703.102,269.048,2.42,11.877,0.4,61.58,12.238333,-1.561593
Asia,Bangladesh,164689383,1265.036,359148,5161,3523.9840000000004,298.003,8.38,34.808,0.8,72.59,23.684994,90.35633100000001
Europe,Bulgaria,6948445,65.18,20055,796,18563.307,424.68800000000005,5.81,0.0,7.454,75.05,42.733883,25.48583
Asia,Bahrain,1701583,1935.9070000000002,68775,242,43290.705,151.689,16.52,0.0,2.0,77.29,25.930414000000003,50.637772
North America,Bahamas,393248,39.497,3790,87,27717.847,235.954,13.17,0.0,2.9,73.92,25.03428,-77.39628
Europe,Bosnia and Herzegovina,3280815,68.49600000000001,26917,810,11713.895,329.635,10.08,97.164,3.5,77.4,43.915886,17.679076000000002
