iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ABW,North America,Aruba,9/28/2020,3844,12,41.857,25,0,0.286,36003.971,112.395,392.046,234.157,0,2.676,0,0,0,0,0,0,0,0,0,0,106766,584.8,41.2,13.085,7.452,35973.781,0,0,11.62,0,0,0,0,76.29,0
AFG,Asia,Afghanistan,9/28/2020,39227,0,26.143,1453,0,1.714,1007.672,0,0.672,37.325,0,0.044,0,0,0,0,0,0,0,0,0,0,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
AGO,Africa,Angola,9/28/2020,4672,82,97.286,171,4,2.714,142.152,2.495,2.96,5.203,0.122,0.083,0,0,0,0,0,0,0,0,0,75,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
AIA,North America,Anguilla,9/28/2020,3,0,0,0,0,0,199.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15002,0,0,0,0,0,0,0,0,0,0,0,0,81.88,0
ALB,Europe,Albania,9/28/2020,13259,106,124.857,377,2,2.143,4607.339,36.834,43.386,131.003,0.695,0.745,0,0,0,0,0,0,0,0,0,0,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
AND,Europe,Andorra,9/28/2020,1836,0,38.857,53,0,0,23762.376,0,502.907,685.951,0,0,0,0,0,0,0,0,0,0,0,0,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
ARE,Asia,United Arab Emirates,9/28/2020,91469,851,936.143,412,1,1.143,9248.261,86.043,94.652,41.657,0.101,0.116,0,0,0,0,0,0,0,0,0,0,9890400,112.442,34,1.144,0.526,67293.483,0,317.84,17.26,1.2,37.4,0,1.2,77.97,0.863
ARG,South America,Argentina,9/28/2020,711312,8841,12627.286,15749,206,405.714,15738.462,195.616,279.391,348.462,4.558,8.977,0,0,0,0,0,0,0,0,0,0,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
ARM,Asia,Armenia,9/28/2020,49400,328,281.286,951,3,3,16670.975,110.69,94.925,320.933,1.012,1.012,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
ATG,North America,Antigua and Barbuda,9/28/2020,101,0,0.714,3,0,0,1031.37,0,7.294,30.635,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
